ctime,datname,numbackends,xact_commit,xact_rollback,blks_read,blks_hit,tup_returned,tup_fetched,tup_inserted,tup_updated,tup_deleted
1415227489.60959,template1,0,0,0,0,0,0,0,0,0,0
1415227489.60959,template0,0,0,0,0,0,0,0,0,0,0
1415227489.60959,postgres,0,566,4,4787,25556,188822,11737,0,0,0
1415227489.60959,dbt3,13,20816,0,901708396,4707210754,67715240158,10588259848,440227456,3480,6081927
1415227549.627,template1,0,0,0,0,0,0,0,0,0,0
1415227549.627,template0,0,0,0,0,0,0,0,0,0,0
1415227549.627,postgres,0,568,4,4813,25585,189484,11748,0,0,0
1415227549.627,dbt3,30,22038,0,903855794,4717433636,67781499039,10625637137,440303125,3600,6082261
1415227609.62561,template1,0,0,0,0,0,0,0,0,0,0
1415227609.62561,template0,0,0,0,0,0,0,0,0,0,0
1415227609.62561,postgres,0,570,4,4839,25614,190146,11759,0,0,0
1415227609.62561,dbt3,30,22110,0,906725232,4724594122,67961120566,10660639907,440303180,3613,6082306
1415227669.62672,template1,0,0,0,0,0,0,0,0,0,0
1415227669.62672,template0,0,0,0,0,0,0,0,0,0,0
1415227669.62672,postgres,0,572,4,4865,25643,190808,11770,0,0,0
1415227669.62672,dbt3,30,22201,0,909164676,4731285639,68341295475,10718945140,440318215,3626,6157377
1415227729.62616,template1,0,0,0,0,0,0,0,0,0,0
1415227729.62616,template0,0,0,0,0,0,0,0,0,0,0
1415227729.62616,postgres,0,574,4,4891,25672,191470,11781,0,0,0
1415227729.62616,dbt3,30,22281,0,914509321,4743498441,68854139223,10790293975,440393053,3640,6157377
1415227789.63663,template1,0,0,0,0,0,0,0,0,0,0
1415227789.63663,template0,0,0,0,0,0,0,0,0,0,0
1415227789.63663,postgres,0,576,4,4917,25701,192132,11792,0,0,0
1415227789.63663,dbt3,29,22342,0,916125004,4748559179,68903833517,10804339006,440393076,3649,6157392
1415227849.64237,template1,0,0,0,0,0,0,0,0,0,0
1415227849.64237,template0,0,0,0,0,0,0,0,0,0,0
1415227849.64237,postgres,0,578,4,4943,25730,192794,11803,0,0,0
1415227849.64237,dbt3,29,22426,0,922462711,4787685397,69664549302,10843313075,440393118,3663,6157422
1415227909.64647,template1,0,0,0,0,0,0,0,0,0,0
1415227909.64647,template0,0,0,0,0,0,0,0,0,0,0
1415227909.64647,postgres,0,580,4,4969,25759,193456,11814,0,0,0
1415227909.64647,dbt3,30,22519,0,927267762,4796411782,70046519473,10910413034,440408151,3679,6232168
1415227969.64705,template1,0,0,0,0,0,0,0,0,0,0
1415227969.64705,template0,0,0,0,0,0,0,0,0,0,0
1415227969.64705,postgres,0,582,4,4995,25788,194118,11825,0,0,0
1415227969.64705,dbt3,30,22617,0,933713811,4816071133,70476549102,11006251017,440482830,3694,6232183
1415228029.65364,template1,0,0,0,0,0,0,0,0,0,0
1415228029.65364,template0,0,0,0,0,0,0,0,0,0,0
1415228029.65364,postgres,0,584,4,5021,25817,194780,11836,0,0,0
