# hostname;interval;timestamp;DEV;tps;rd_sec/s;wr_sec/s;avgrq-sz;avgqu-sz;await;svctm;%util
axle;60;1415225987;sdb;613.47;8192.53;287379.87;481.81;9.49;15.48;0.18;11.22
axle;60;1415225987;sda;2.17;1.33;45.87;21.78;0.00;0.34;0.22;0.05
axle;60;1415226047;sdb;501.63;8738.13;213896.67;443.82;6.44;12.85;0.18;9.05
axle;60;1415226047;sda;1.53;1.07;25.60;17.39;0.00;0.13;0.13;0.02
axle;60;1415226107;sdb;466.88;8750.93;197254.67;441.24;8.18;17.53;0.22;10.20
axle;60;1415226107;sda;1.27;0.00;19.73;15.58;0.00;1.37;0.26;0.03
axle;60;1415226167;sdb;370.30;9246.00;140541.20;404.50;4.09;11.04;0.18;6.60
axle;60;1415226167;sda;0.98;0.00;15.60;15.86;0.00;0.00;0.00;0.00
axle;60;1415226227;sdb;329.75;9382.40;108116.40;356.33;2.07;6.28;0.11;3.61
axle;60;1415226227;sda;1.20;0.00;18.00;15.00;0.00;0.11;0.11;0.01
axle;60;1415226287;sdb;358.93;9237.33;151957.20;449.09;5.77;16.09;0.21;7.43
axle;60;1415226287;sda;0.98;0.00;17.20;17.49;0.00;0.14;0.07;0.01
axle;60;1415226347;sdb;754.40;8017.07;361764.13;490.17;20.25;26.85;0.26;19.96
axle;60;1415226347;sda;1.53;0.00;26.13;17.04;0.00;0.13;0.13;0.02
axle;60;1415226407;sdb;398.90;8298.80;163040.27;429.53;10.97;27.50;0.20;7.79
axle;60;1415226407;sda;1.28;0.00;19.07;14.86;0.00;0.00;0.00;0.00
axle;60;1415226467;sdb;196.40;9160.53;54274.27;322.99;0.89;4.51;0.14;2.83
axle;60;1415226467;sda;0.85;0.00;14.67;17.25;0.00;0.00;0.00;0.00
axle;60;1415226527;sdb;285.18;8483.73;99665.20;379.23;1.16;4.06;0.18;5.20
axle;60;1415226527;sda;1.28;0.00;19.20;14.96;0.00;0.00;0.00;0.00
axle;60;1415226587;sdb;232.30;9179.20;58140.27;289.80;0.18;0.77;0.13;2.91
axle;60;1415226587;sda;0.92;0.00;15.60;17.02;0.00;0.00;0.00;0.00
axle;60;1415226647;sdb;169.17;9545.73;37561.33;278.47;0.13;0.75;0.14;2.35
axle;60;1415226647;sda;1.47;0.00;25.07;17.09;0.00;0.00;0.00;0.00
