# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact
axle;60;1415225987;43051028;221068528;83.70;93024;200145092;90846828;33.19;134319924;77678652
axle;60;1415226047;37828756;226290800;85.68;93204;205756324;90412368;33.04;138415796;78832552
axle;60;1415226107;36126848;227992708;86.32;93360;207671652;90223568;32.97;140081408;78877968
axle;60;1415226167;34197252;229922304;87.05;93548;209604740;90223568;32.97;141973532;78918236
axle;60;1415226227;32204644;231914912;87.81;93800;211597032;90222612;32.97;143926576;78958208
axle;60;1415226287;20394684;243724872;92.28;94080;212762136;100809740;36.83;155282888;79387092
axle;60;1415226347;17846592;246272964;93.24;94260;217524748;98598716;36.03;153618080;83602904
axle;60;1415226407;20667708;243451848;92.17;94480;218917500;94412736;34.50;149347880;85066596
axle;60;1415226467;19223892;244895664;92.72;94632;220358596;94431884;34.50;149574644;86281124
axle;60;1415226527;20222148;243897408;92.34;94848;221695484;92074468;33.64;148032880;86793080
axle;60;1415226587;20143412;243976144;92.37;95072;221780832;92088224;33.65;147667332;87245472
axle;60;1415226647;18028948;246090608;93.17;95252;223876952;92070532;33.64;148652168;88356748
