# hostname;interval;timestamp;DEV;tps;rd_sec/s;wr_sec/s;avgrq-sz;avgqu-sz;await;svctm;%util
axle;60;1415227549;sdb;1591.55;6822.40;122844.53;81.47;10.07;6.32;0.06;9.23
axle;60;1415227549;sda;139.72;0.67;5536.00;39.63;6.10;43.65;0.46;6.41
axle;60;1415227609;sdb;313.45;6412.80;91383.07;312.00;4.00;12.78;0.18;5.77
axle;60;1415227609;sda;57.77;0.67;2115.47;36.63;1.13;19.56;1.06;6.11
axle;60;1415227669;sdb;177.08;6366.00;59132.13;369.87;1.64;9.28;0.18;3.13
axle;60;1415227669;sda;74.05;0.53;2091.60;28.25;1.94;26.23;0.53;3.94
axle;60;1415227729;sdb;1582.22;6678.13;71442.53;49.37;5.54;3.50;0.05;7.13
axle;60;1415227729;sda;14.05;0.00;343.20;24.43;0.63;44.88;0.74;1.05
axle;60;1415227789;sdb;190.87;6448.00;33761.20;210.67;0.20;1.07;0.09;1.71
axle;60;1415227789;sda;5.62;0.13;135.47;24.14;0.00;0.23;0.21;0.12
axle;60;1415227849;sdb;130.95;6601.20;23747.60;231.76;0.12;0.89;0.11;1.49
axle;60;1415227849;sda;22.65;0.80;529.60;23.42;0.01;0.44;0.13;0.30
axle;60;1415227909;sdb;1023.75;6870.80;79969.07;84.83;2.71;2.65;0.05;4.62
axle;60;1415227909;sda;2.98;0.27;347.73;116.65;0.00;0.27;0.20;0.06
axle;60;1415227969;sdb;1033.22;6729.87;78935.60;82.91;2.80;2.71;0.05;4.69
axle;60;1415227969;sda;2.45;0.27;47.33;19.43;0.00;0.11;0.11;0.03
axle;60;1415228029;sdb;157.18;6469.07;31698.27;242.82;0.30;1.94;0.15;2.30
axle;60;1415228029;sda;13.78;0.00;357.07;25.91;0.00;0.34;0.17;0.23
axle;60;1415228089;sdb;190.77;6700.40;55659.60;326.89;0.18;0.92;0.13;2.55
axle;60;1415228089;sda;64.30;0.00;2159.60;33.59;0.02;0.29;0.14;0.90
