# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact
axle;60;1415227549;1092600;263026956;99.59;97844;233909952;98482360;35.98;167162192;86187304
axle;60;1415227609;472192;263647364;99.82;94924;229669440;103516504;37.82;167564456;86472528
axle;60;1415227669;445408;263674148;99.83;90628;226180004;107217088;39.18;168233720;85881932
axle;60;1415227729;5626520;258493036;97.87;90668;225057748;102981500;37.63;164087552;84826584
axle;60;1415227789;4641716;259477840;98.24;90768;224734156;104380852;38.14;165652696;84263224
axle;60;1415227849;8597180;255522376;96.74;91012;222844492;102464256;37.44;163711324;82265972
axle;60;1415227909;7939184;256180372;96.99;91240;223201396;102717048;37.53;164412664;82243504
axle;60;1415227969;8272900;255846656;96.87;91476;224201588;101479384;37.08;163337120;82998224
axle;60;1415228029;4426016;259693540;98.32;91692;224998224;104542752;38.20;166565016;83614908
axle;60;1415228089;1391048;262728508;99.47;91976;225382072;107202704;39.17;169070772;84123080
axle;60;1415228149;3255384;260864172;98.77;92204;225140376;105579952;38.58;167401308;83962964
axle;60;1415228209;5160280;258959276;98.05;92408;223557504;105267032;38.46;167133536;82312980
axle;60;1415228269;8622848;255496708;96.74;92644;222506936;102882132;37.59;164953892;81039772
axle;60;1415228329;11317356;252802200;95.72;92848;221891276;100789804;36.83;163153788;80150932
axle;60;1415228389;9852772;254266784;96.27;93068;220771600;103416044;37.79;165912524;78857084
axle;60;1415228449;10459020;253660536;96.04;93544;220961908;102595296;37.49;165327872;78871776
axle;60;1415228509;9450688;254668868;96.42;93756;221917756;102684796;37.52;165546056;79594620
axle;60;1415228569;4328732;259790824;98.36;93948;222638188;107124056;39.14;170151760;80141416
axle;60;1415228629;8931468;255188088;96.62;94132;222886584;102188764;37.34;165457728;80183824
axle;60;1415228689;6809128;257310428;97.42;94348;223438492;103821944;37.93;167313948;80505888
axle;60;1415228749;7070256;257049300;97.32;94572;224141868;102805052;37.56;166519668;81022340
axle;60;1415228809;8346568;255772988;96.84;94776;223830404;101883796;37.23;165700392;80548616
axle;60;1415228869;7065700;257053856;97.32;94960;224913792;101992344;37.27;166072160;81414856
axle;60;1415228929;1728576;262390980;99.35;95100;224788224;107661672;39.34;171743788;81151424
axle;60;1415228989;6420620;257698936;97.57;95328;225066688;102601020;37.49;167306848;80900508
axle;60;1415229049;5626180;258493376;97.87;95560;225140056;103331040;37.76;167812620;81168040
axle;60;1415229109;6699640;257419916;97.46;95764;224964156;102517324;37.46;167129432;80810260
axle;60;1415229169;6571564;257547992;97.51;95964;224761724;102886672;37.59;167625144;80431152
axle;60;1415229229;8854048;255265508;96.65;96152;224558328;100723592;36.80;165694440;80023776
axle;60;1415229289;8657688;255461868;96.72;96360;223915032;101546284;37.10;166728828;79202528
axle;60;1415229349;11336236;252783320;95.71;96556;224104044;98511300;35.99;164033600;79230756
axle;60;1415229409;10991752;253127804;95.84;96740;224807988;98121796;35.85;163828548;79738428
axle;60;1415229469;8433648;255685908;96.81;96936;226161312;99554552;36.38;165290460;80888552
axle;60;1415229529;2214468;261905088;99.16;97084;227165096;104876528;38.32;170636312;81726824
axle;60;1415229589;2130252;261989304;99.19;97160;226639940;105344488;38.49;169353844;83113412
axle;60;1415229649;2620496;261499060;99.01;97384;228540240;102786232;37.56;166966804;84936208
axle;60;1415229709;4042624;260076932;98.47;97572;228539884;101240224;36.99;165934660;84565340
axle;60;1415229769;3360632;260758924;98.73;97752;228770848;101610216;37.13;166315936;84850960
axle;60;1415229829;2105468;262014088;99.20;98076;227735392;104157844;38.06;168640832;83791520
axle;60;1415229889;4644728;259474828;98.24;98272;226948568;102264968;37.37;167120972;82785832
axle;60;1415229949;4437912;259681644;98.32;98452;226329704;103249136;37.73;167980476;82167748
axle;60;1415230009;5687768;258431788;97.85;97288;226421396;101988824;37.26;165298856;83580456
axle;60;1415230069;6203440;257916116;97.65;97488;226283752;101500784;37.09;164906340;83445088
axle;60;1415230129;6150264;257969292;97.67;97680;226152008;101558900;37.11;165313144;83125212
axle;60;1415230189;5677684;258441872;97.85;97884;225555960;102852684;37.58;166586876;82337936
axle;60;1415230249;7504392;256615164;97.16;98072;223964556;102551492;37.47;166451224;80658864
axle;60;1415230309;18105196;246014360;93.15;98252;223255672;92944036;33.96;156987888;79806220
axle;60;1415230369;20454752;243664804;92.26;98472;223555484;90240256;32.97;154659496;79891816
axle;60;1415230429;20171868;243947688;92.36;98736;223843816;90263328;32.98;154904024;79947460
axle;60;1415230489;19843344;244276212;92.49;98916;224165232;90521360;33.07;155155084;80025416
axle;60;1415230549;19550024;244569532;92.60;99080;224471132;90266544;32.98;155386240;80092472
axle;60;1415230609;19251068;244868488;92.71;99220;224767196;90268892;32.98;155621272;80154120
axle;60;1415230669;18950692;245168864;92.82;99392;225070160;90261012;32.98;155847724;80221008
