Linux 3.11.0-17-generic (axle) 	05/11/14 	_x86_64_	(64 CPU)

22:44:49        CPU     %user     %nice   %system   %iowait    %steal     %idle
22:45:49        all     23.63      0.00      4.31      0.25      0.00     71.81
22:46:49        all     25.52      0.00      3.40      0.06      0.00     71.02
22:47:49        all     23.45      0.00      3.25      0.03      0.00     73.27
22:48:49        all     19.58      0.00      3.23      0.05      0.00     77.14
22:49:49        all     18.09      0.00      3.49      0.01      0.00     78.41
22:50:49        all     18.29      0.00      3.38      0.01      0.00     78.32
22:51:49        all     19.28      0.00      3.40      0.04      0.00     77.27
22:52:49        all     18.01      0.00      3.52      0.03      0.00     78.44
22:53:49        all     18.90      0.00      3.38      0.02      0.00     77.69
22:54:49        all     19.60      0.00      3.40      0.02      0.00     76.99
22:55:49        all     19.12      0.00      3.20      0.09      0.00     77.58
22:56:49        all     18.30      0.00      3.16      0.00      0.00     78.55
22:57:49        all     19.04      0.00      3.49      0.01      0.00     77.45
22:58:49        all     18.94      0.00      3.44      0.02      0.00     77.59
22:59:49        all     22.18      0.00      3.85      0.00      0.00     73.97
23:00:49        all     21.15      0.00      3.04      0.00      0.00     75.81
23:01:49        all     22.77      0.00      3.28      0.03      0.00     73.92
23:02:49        all     21.12      0.00      3.17      0.02      0.00     75.68
23:03:49        all     18.27      0.00      2.93      0.00      0.00     78.81
23:04:49        all     19.16      0.00      3.33      0.06      0.00     77.45
23:05:49        all     17.95      0.00      3.38      0.01      0.00     78.66
23:06:49        all     19.19      0.00      3.03      0.00      0.00     77.78
23:07:49        all     18.94      0.00      3.17      0.07      0.00     77.83
23:08:49        all     20.37      0.00      3.06      0.00      0.00     76.57
23:09:49        all     19.90      0.00      2.83      0.00      0.00     77.27
23:10:49        all     19.13      0.00      2.98      0.03      0.00     77.87
23:11:49        all     20.39      0.00      2.60      0.01      0.00     76.99
23:12:49        all     19.74      0.00      2.81      0.00      0.00     77.45
23:13:49        all     20.81      0.00      3.24      0.01      0.00     75.94
23:14:49        all     20.78      0.00      2.94      0.02      0.00     76.26
23:15:49        all     20.50      0.00      2.72      0.00      0.00     76.78
23:16:49        all     19.09      0.00      3.05      0.01      0.00     77.85
23:17:49        all     17.49      0.00      3.30      0.03      0.00     79.18
23:18:49        all     20.50      0.00      2.90      0.03      0.00     76.57
23:19:49        all     19.89      0.00      3.26      0.05      0.00     76.79
23:20:49        all     19.65      0.00      3.44      0.04      0.00     76.87
23:21:49        all     19.46      0.00      2.91      0.02      0.00     77.61
23:22:49        all     20.73      0.00      2.77      0.01      0.00     76.50
23:23:49        all     19.82      0.00      2.88      0.02      0.00     77.28
23:24:49        all     18.60      0.00      3.44      0.01      0.00     77.95
23:25:49        all     19.08      0.00      3.68      0.03      0.00     77.21
23:26:49        all     21.23      0.00      3.64      0.09      0.00     75.04
23:27:49        all     20.77      0.00      3.27      0.03      0.00     75.93
23:28:49        all     19.60      0.00      3.19      0.00      0.00     77.21
23:29:49        all     17.36      0.00      3.51      0.05      0.00     79.08
23:30:49        all     18.16      0.00      3.28      0.01      0.00     78.54
23:31:49        all     18.26      0.00      3.63      0.01      0.00     78.10
23:32:49        all      4.96      0.00      0.44      0.00      0.00     94.60
23:33:49        all      3.10      0.00      0.32      0.02      0.00     96.57
23:34:49        all      3.14      0.00      0.30      0.02      0.00     96.55
23:35:49        all      3.09      0.00      0.34      0.01      0.00     96.56
23:36:49        all      3.10      0.00      0.33      0.02      0.00     96.55
23:37:49        all      3.09      0.00      0.34      0.03      0.00     96.55
