# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact
axle;60;1415226761;17634192;246485364;93.32;95740;225822732;90625484;33.11;143939580;93450740
axle;60;1415226821;14396812;249722744;94.55;95896;228503256;91178952;33.32;145145224;95472932
axle;60;1415226881;14416084;249703472;94.54;96060;228759532;90828148;33.19;153206492;87383992
axle;60;1415226941;13120916;250998640;95.03;96216;229047152;91811872;33.55;154444576;87432928
axle;60;1415227001;11908224;252211332;95.49;96400;230565312;91494736;33.43;155096576;87954436
axle;60;1415227061;13896316;250223240;94.74;96556;229596164;90528632;33.08;155447540;85653992
axle;60;1415227121;13792424;250327132;94.78;96728;229863548;90385580;33.03;155521200;85671500
axle;60;1415227181;12872452;251247104;95.13;96908;230129944;91016344;33.26;156907148;85195652
axle;60;1415227241;13314220;250805336;94.96;97072;230391040;90328412;33.00;156779916;84889216
axle;60;1415227301;13020880;251098676;95.07;97228;230660988;90328412;33.00;157005268;84937176
axle;60;1415227361;12634552;251485004;95.22;97400;230906764;90445252;33.05;157757964;84568384
axle;60;1415227421;12223580;251895976;95.37;97572;231153828;90604500;33.11;158256044;84473080
axle;60;1415227481;12253828;251865728;95.36;97752;231409708;90284032;32.99;158323860;84371044
