# hostname;interval;timestamp;DEV;tps;rd_sec/s;wr_sec/s;avgrq-sz;avgqu-sz;await;svctm;%util
axle;60;1415226761;sdb;149.77;8379.73;34006.93;283.02;0.09;0.63;0.07;1.04
axle;60;1415226761;sda;2.75;0.00;343.33;124.85;0.00;0.41;0.02;0.01
axle;60;1415226821;sdb;196.18;8128.00;8676.93;85.66;0.61;3.09;0.07;1.34
axle;60;1415226821;sda;1.18;0.00;17.73;14.99;0.00;0.11;0.11;0.01
axle;60;1415226881;sdb;1504.40;8546.13;35168.27;29.06;3.52;2.34;0.02;3.73
axle;60;1415226881;sda;1.12;0.00;20.80;18.63;0.00;0.00;0.00;0.00
axle;60;1415226941;sdb;132.65;9578.80;8607.87;137.10;0.04;0.30;0.05;0.67
axle;60;1415226941;sda;1.58;0.00;26.00;16.42;0.00;0.00;0.00;0.00
axle;60;1415227001;sdb;177.47;9105.07;44431.87;301.67;0.60;3.40;0.11;1.99
axle;60;1415227001;sda;1.45;0.00;25.07;17.29;0.00;0.00;0.00;0.00
axle;60;1415227061;sdb;136.33;9186.13;13297.33;164.92;0.11;0.84;0.08;1.11
axle;60;1415227061;sda;1.10;0.00;19.87;18.06;0.00;0.00;0.00;0.00
axle;60;1415227121;sdb;116.73;8908.93;7454.00;140.17;0.06;0.51;0.07;0.77
axle;60;1415227121;sda;1.65;0.00;26.13;15.84;0.00;0.00;0.00;0.00
axle;60;1415227181;sdb;117.55;8883.20;7441.73;138.88;0.08;0.65;0.20;2.31
axle;60;1415227181;sda;1.63;0.00;29.20;17.88;0.00;0.00;0.00;0.00
axle;60;1415227241;sdb;114.92;8678.40;7157.47;137.80;0.03;0.23;0.07;0.77
axle;60;1415227241;sda;1.53;0.00;30.13;19.65;0.00;0.00;0.00;0.00
axle;60;1415227301;sdb;120.55;8998.40;7530.27;137.11;0.07;0.57;0.04;0.53
axle;60;1415227301;sda;1.32;0.00;21.20;16.10;0.00;0.00;0.00;0.00
axle;60;1415227361;sdb;95.85;8187.87;5740.27;145.31;0.03;0.28;0.07;0.69
axle;60;1415227361;sda;1.15;0.00;21.60;18.78;0.00;0.00;0.00;0.00
axle;60;1415227421;sdb;107.23;8247.47;6770.80;140.05;0.03;0.24;0.06;0.69
axle;60;1415227421;sda;1.68;0.00;26.27;15.60;0.00;0.00;0.00;0.00
axle;60;1415227481;sdb;113.35;8093.87;7826.67;140.45;0.03;0.25;0.05;0.55
axle;60;1415227481;sda;1.35;0.00;23.73;17.58;0.00;0.00;0.00;0.00
