# hostname;interval;timestamp;frmpg/s;bufpg/s;campg/s
axle;60;1415226761;-27101.92;0.80;25884.77
axle;60;1415226821;-13489.08;0.65;11168.85
axle;60;1415226881;80.30;0.68;1067.82
axle;60;1415226941;-5396.53;0.65;1198.42
axle;60;1415227001;-5052.88;0.77;6325.67
axle;60;1415227061;8283.72;0.65;-4038.12
axle;60;1415227121;-432.88;0.72;1114.10
axle;60;1415227181;-3833.22;0.75;1109.98
axle;60;1415227241;1840.70;0.68;1087.90
axle;60;1415227301;-1222.25;0.65;1124.78
axle;60;1415227361;-1609.70;0.72;1024.07
axle;60;1415227421;-1712.38;0.72;1029.43
axle;60;1415227481;126.03;0.75;1066.17
